技能ID;技能名称;技能描述;消耗;何时触发;触发辅助;对敌我方;目标类型;选择规则;选择范围;效果类型;效果值;附带技能;回合最大使用次数;单场最大使用次数;是否有有益的;是否处于调试中
10017;太阳船;获得1张神迹卡［莫非王土：秘术，离场时在随机格迷雾内以20点生命值复活］;3;0;0;1;5;0;0;21;36032;15017,49981,49982;3;3;0;0
10018;公理天秤;全场【清除】，舍弃双方所有手牌，并将场上所有单位护盾值归0;6;0;0;2;7;0;0;5;-99;15018,11018,12018;1;1;0;0
10019;无上权能;使己方随机1体附属神获得【雷鸣】（雷鸣：命中敌方单位时，被命中单位获得1层【雷印】），永久+2攻击力。自身失去3点生命值。（每回合至多发动1次）;2;0;0;1;36;2;0;29;11005;15910,11001,11002,11011;1;999;1;0
10020;威压雷霆;敌方全体单位获得1层【雷印】。（每回合至多发动1次，单局游戏至多发动6次）;1;0;0;0;7;0;0;25;41;15910,11011;1;6;1;0
10021;弑父霸王;使用后，每移动1格，自身永久+1攻击力。任意单位离场时，敌方随机单位获得1层【雷印】。（每回合至多发动2次）;4;0;0;1;6;0;0;80;10099;15910,11011;1;1;1;0
10022;天;自身失去3点生命值，敌方随机两个单位失去3点生命值（每回合至多使用1次）。;1;0;0;1;6;0;0;1;-3;12019,12020,15216,15217;1;999;0;0
10023;乾;己方随机单位永久+1攻击，获得一张弹幕卡【乾】（每回合至多使用1次）。;1;0;0;1;5;0;0;21;43014;43999,15218;1;999;0;0
10024;苍;召唤1体【苍色之物】（每回合至多使用1次）。;2;0;0;1;1;2;0;6;24073;15219;1;999;0;0
11001;无上权能;自身失去3点生命值。;0;0;0;1;10;0;0;1;-3;0;1;999;0;0
11002;无上权能;使己方随机1体附属神永久+2攻击力。;0;0;0;1;38;0;0;3;2;0;1;999;1;0
11004;日耀;舍弃所有手牌。;0;0;0;1;5;0;0;23;1;0;1;1;1;0
11005;雷鸣;命中敌方单位时，被命中单位获得1层【雷印】。;0;11;0;0;20;0;0;25;41;0;-1;-1;1;0
11006;尖兵;失去生命值时召唤1体【冰霜巨人】。;0;22;0;1;1;2;0;6;22030;0;-1;-1;1;0
11007;弑父霸王;每移动1格，自身永久+1攻击力。任意单位离场时，敌方随机单位获得1层【雷印】。（每回合至多发动2次）;0;1;0;1;6;0;0;3;1;15910,11011,11009;2;-1;1;0
11009;弑父霸王;每移动1格，自身永久+1攻击力。任意单位离场时，敌方随机单位获得1层【雷印】。（每回合至多发动2次）;0;37;0;0;4;2;0;25;41;0;2;-1;1;0
11011;君王;任意单位获得【雷印】时，随机解除2格迷雾。;0;67;0;0;21;2;0;8;1;0;2;999;1;0
11013;俱利摩;已发动;0;0;0;-1;0;0;0;-1;0;15013,22903,23903,22906;0;0;1;0
11014;那罗辛哈;已发动;0;0;0;-1;0;0;0;-1;0;15014,22904,21937;0;0;1;0
11015;迦尔吉;已发动;0;0;0;-1;0;0;0;-1;0;15015,22905,15215;0;0;1;0
11016;太乙;自身永久处于迷雾（仍然会受到伤害）。自身失去生命值时，随机移动至迷雾区域（无迷雾时原地不动）。;0;15;0;1;6;0;0;25;2;11116;-1;-1;1;0
11017;哈努曼;【忍耐】3，被命中时，自身获得10点生命值。任意单位离场时，自身获得15点护盾。;0;20;0;1;6;0;0;1;10;11127,11117;-1;-1;1;0
11018;公理天秤;全场【清除】，舍弃双方所有手牌，并将场上所有单位护盾值归0;0;0;0;2;7;0;0;14;1;0;1;1;0;0
11019;毗湿奴;己方回合开始时，己方全体获得【圣盾】，永久+1攻击力。任意附属神离场时，自身提升10点生命值上限，并获得10点生命值。被攻击命中时，发起攻击单位永久－1攻击力。;0;8;0;1;6;0;0;2;10;11118,11119,11120,11126;-1;-1;0;0
11020;日耀;己方回合开始时，双方全体单位失去5点生命值，召唤1体【哪吒量产型】。失去生命值时，自身获得【圣盾】，己方随机覆盖1格迷雾，随机移动至迷雾区域。;0;6;0;2;7;0;0;1;-5;11121,11122,11123,11125;-1;-1;1;0
11116;太乙;自身失去生命值时，随机移动至迷雾区域（无迷雾时原地不动）。;0;22;0;1;6;0;0;27;1;0;-1;-1;1;0
11117;哈努曼;任意单位离场时，自身获得15点护盾。;0;37;0;1;6;0;0;5;15;0;-1;-1;1;0
11118;毗湿奴;己方回合开始时，己方全体获得【圣盾】。;0;6;0;1;7;0;0;25;3;0;-1;-1;1;0
11119;毗湿奴;己方回合开始时，永久+1攻击力。;0;6;0;1;7;0;0;3;1;0;-1;-1;1;0
11120;毗湿奴;任意附属神离场时，并获得10点生命值。;0;8;0;1;6;0;0;1;10;0;-1;-1;1;0
11121;日耀;己方回合开始时，召唤1体【哪吒量产型】。;0;6;0;1;1;2;0;6;29984;0;-1;-1;1;0
11122;圣盾;失去生命值时，自身获得【圣盾】;0;22;0;1;6;0;0;25;3;0;-1;-1;1;0
11123;日耀;失去生命值时，己方随机覆盖1格迷雾;0;22;0;1;22;2;0;7;1;0;-1;-1;1;0
11125;日耀;失去生命值时，随机移动至迷雾区域。;0;22;0;1;6;0;0;27;1;0;-1;-1;1;0
11126;毗湿奴;受到攻击时，发起攻击单位永久－1攻击力。;0;20;0;0;11;0;0;3;-1;0;-1;-1;1;0
11127;哈努曼;【忍耐】3，被命中时，自身获得10点生命值。任意单位离场时，自身获得15点护盾。;0;22;0;1;6;0;0;110;3;0;-1;-1;1;0
12001;天之岩户;己方所有单位获得10点生命值，持续2回合。;0;0;0;1;7;0;0;25;11;0;1;1;1;0
12003;指挥;己方全体【封足】(该封足不可被净化)持续2回合。;0;0;0;1;7;0;0;25;71;0;1;1;1;0
12008;狂战士之怒;每回合开始时，己方所有单位失去2点生命值。;0;0;0;1;7;0;0;25;10;0;1;1;1;0
12009;血脉;己方随机单位永久＋2攻击力。;0;0;0;1;4;2;0;3;2;0;3;999;1;0
12018;公理天秤;全场【清除】，舍弃双方所有手牌，并将场上所有单位护盾值归0;0;0;0;2;5;0;0;23;1;0;1;1;0;0
12019;天;自身失去3点生命值，敌方随机两个单位失去3点生命值（每回合至多使用1次）。;0;0;0;0;4;2;0;1;-3;0;1;999;0;0
12020;天;自身失去3点生命值，敌方随机两个单位失去3点生命值（每回合至多使用1次）。;0;0;0;0;4;2;0;1;-3;0;1;999;0;0
12203;英灵指挥;获得12护盾;0;0;0;1;7;0;0;5;12;0;1;1;1;0
15001;抗拒;己方回合开始时，随机解除2格迷雾。;0;6;0;0;21;2;0;33;1;0;-1;-1;1;0
15002;机略;每获得一张卡时，随机解除1格迷雾。（每回合至多发动4次）;0;27;0;0;21;2;0;8;1;0;4;-1;1;0
15003;强横;奥丁被命中时，敌方攻击单位解除迷雾。;0;20;0;0;11;0;0;8;1;0;-1;-1;1;0
15004;天明;己方迷雾被解除时，解除镜像区域迷雾。;0;28;0;2;21;3;0;8;1;0;-1;-1;1;0
15005;爆风;攻击时，随机解除一格迷雾。;0;3;0;0;21;2;0;8;1;0;-1;-1;1;0
15006;尖兵;任意单位离场时，随机解除1格迷雾。;0;37;0;0;21;2;0;8;1;0;-1;-1;1;0
15007;反射;自身＋护盾时，随机解除1格迷雾。;0;2;0;0;21;2;0;8;1;0;-1;-1;1;0
15008;狂风;命中敌方单位时，解除十字区域迷雾。;0;11;0;0;20;0;0;34;1;0;-1;-1;1;0
15009;血迹;失去生命值时，随机解除2格迷雾。（每回合至多可用3次）;0;22;0;0;21;2;0;33;1;0;3;-1;1;0
15010;天道;回合开始时，己方随机覆盖1格迷雾，敌方随机解除1格迷雾。;0;6;0;0;21;2;0;8;1;0;-1;-1;1;0
15011;炼化;使用神迹卡时，随机解除2格迷雾（每回合至多发动3次）。;0;29;0;0;21;2;0;33;1;0;3;-1;1;0
15012;流转;己方回合开始时，随机解除2格迷雾。;0;6;0;0;21;2;0;33;1;0;-1;-1;1;0
15013;明灯;己方回合开始时，获得【圣盾】并提高3点生命值上限和获得3点生命值。神龟被命中时，敌方攻击单位解除迷雾。;0;20;0;0;11;0;0;8;1;0;-1;-1;1;0
15014;狂乱;自身攻击后，永久＋1攻击力，掠取50％。命中敌方单位时，解除十字区域迷雾。;0;11;0;0;20;0;0;34;1;0;-1;-1;1;0
15015;吉兆;＋1移动力，移动时，恢复1点行动点，随机解除1格迷雾（每回合至多发动4次）。;0;1;0;0;21;2;0;8;1;0;4;-1;1;0
15016;复仇;任意单位离场时，召唤一体【木乃伊】（每回合至多发动2次）;0;37;0;1;1;2;0;6;29000;0;2;1000;1;0
15017;秘法;己方回合开始时，随机解除3格迷雾。;0;6;0;0;21;2;0;8;1;0;-1;-1;1;0
15018;太阳神;己方迷雾被解除时，解除镜像区域迷雾。;0;28;0;2;21;3;0;8;1;0;-1;-1;1;0
15097;攻防一体;自身＋护盾时，永久＋1攻击力。;0;2;0;1;6;0;0;3;1;0;-1;-1;1;0
15098;道法秘术;己方合开始时，己方所有单位失去2点生命值。;0;6;0;1;7;0;0;1;-2;0;-1;-1;1;0
15099;传说消亡;每获得一张卡时，自身－1攻击力，失去7点生命值。;0;19;0;1;6;0;0;1;-7;15299;-1;-1;1;0
15110;轮回;己方回合开始时，己方随机覆盖1格迷雾，敌方随机解除1格迷雾;0;6;0;1;22;2;0;7;1;0;-1;-1;1;0
15215;白马白马白;移动力永久＋1。;0;0;0;1;6;0;0;4;1;0;1;1;1;0
15216;天;己方主神生命值低于15时，获得技能【忍耐】3（每局至多发动1次），自身失去生命值时，敌方随机解除两格迷雾（每回合至多发动2次）。;0;22;0;0;21;2;0;33;1;0;2;999;1;0
15217;天;己方主神生命值低于15时，获得技能【忍耐】3（每局至多发动1次），自身失去生命值时，敌方随机解除两格迷雾（每回合至多发动2次）。;0;30;15;1;6;0;0;29;15300;0;1;1;0;0
15218;乾;己方主神生命值低于25时，获得一张神迹卡【卜】（每局至多发动1次）。;0;30;25;1;5;0;0;21;38030;0;1;1;0;0
15219;苍;己方主神生命值低于15时，召唤1体【天龙】（每局至多发动1次）。;0;30;15;1;1;2;0;6;24074;0;1;1;0;0
15299;传说消亡;每获得一张卡时，自身－1攻击力，失去7点生命值。;0;19;0;1;6;0;0;3;-1;0;-1;-1;1;0
15300;【忍耐】3;【忍耐】3。;0;22;0;1;6;0;0;110;3;0;-1;-1;1;0
15413;明灯;被命中时，敌方攻击单位解除迷雾。;0;20;0;0;11;0;0;8;1;0;-1;-1;1;0
15414;狂乱;命中敌方单位时，解除十字区域迷雾。;0;11;0;0;20;0;0;34;1;0;-1;-1;1;0
15415;吉兆;自身移动时，随机解除1格迷雾。;0;1;0;0;21;2;0;8;1;0;-1;-1;1;0
15701;雷鸣震慑;命中敌人时，敌方所有单位装填时间＋1。;0;11;0;0;7;0;0;13;1;0;-1;-1;1;0
15702;雷鸣震慑;命中敌人时，敌方所有单位装填时间＋2。;0;11;0;0;7;0;0;13;2;0;-1;-1;1;0
15703;红王;己方回合开始时，所有单位失去3点生命值。;0;6;0;2;7;0;0;1;-3;0;-1;-1;1;0
15704;红王;己方回合开始时，所有单位失去6点生命值。;0;6;0;2;7;0;0;1;-6;0;-1;-1;1;0
15801;抗拒;己方回合开始时，随机解除2格迷雾。;0;6;0;0;21;2;0;33;1;0;-1;-1;1;0
15802;机略;每获得一张卡时，随机解除1格迷雾。;0;27;0;0;21;2;0;8;1;0;-1;-1;1;0
15803;强横;奥丁被命中时，敌方攻击单位解除迷雾。;0;20;0;0;11;0;0;8;1;0;-1;-1;1;0
15804;天明;己方迷雾被解除时，解除镜像区域迷雾。;0;28;0;2;21;3;0;8;1;0;-1;-1;1;0
15805;爆风;攻击时，随机解除一格迷雾。;0;3;0;0;21;2;0;8;1;0;-1;-1;1;0
15806;尖兵;每当伊米尔失去生命值时召唤一个【冰霜巨人0／2】。任意单位离场时，随机解除1格迷雾。;0;37;0;0;21;2;0;8;1;0;-1;-1;1;0
15807;反射;自身＋护盾时，随机解除1格迷雾。;0;2;0;0;21;2;0;8;1;0;-1;-1;1;0
15808;狂风;命中敌方单位时，解除十字区域迷雾。;0;11;0;0;20;0;0;34;1;0;-1;-1;1;0
15809;血迹;失去生命值时，随机解除2格迷雾。;0;22;0;0;21;2;0;33;1;0;-1;-1;1;0
15810;天道;回合开始时，己方随机覆盖1格迷雾,敌方随即解除1格迷雾。;0;6;0;0;21;2;0;8;1;0;-1;-1;1;0
15811;炼化;使用神迹卡时，随机解除2格迷雾。;0;29;0;0;21;2;0;33;1;0;-1;-1;1;0
15812;流转;己方回合开始时，随机解除2格迷雾。;0;6;0;0;21;2;0;33;1;0;-1;-1;1;0
15910;君王;任意单位获得【雷印】时，随机解除2格迷雾。（每回合至多发动2次）;0;67;0;0;21;2;0;8;1;0;2;999;1;0
16201;狩月之狼;任意附属神离场时，自身永久＋5攻击力，获得10点生命值。;0;0;0;-1;0;0;0;-1;0;25201,22018;-1;-1;1;0
16202;狩月之狼;任意附属神离场时，自身永久＋5攻击力，获得10点生命值。;0;0;0;-1;0;0;0;-1;0;25202,22018;-1;-1;1;0
16203;卫道;己方回合开始时，己方所有单位永久＋1攻击力。;0;0;0;-1;0;0;0;-1;0;25203;-1;-1;1;0
16204;卫道;己方回合开始时，己方所有单位永久＋1攻击力。;0;0;0;-1;0;0;0;-1;0;25204;-1;-1;1;0
16205;暗中支配者;己方回合开始时，己方全场覆盖迷雾，失去生命值时，随机移动至迷雾区域（无迷雾时原地不动）。;0;0;0;-1;0;0;0;-1;0;25205,25306;-1;-1;1;0
16206;暗中支配者;己方回合开始时，己方全场覆盖迷雾，失去生命值时，随机移动至迷雾区域（无迷雾时原地不动）。;0;0;0;-1;0;0;0;-1;0;25206,25306;-1;-1;1;0
16207;卫道;【反击】，失去生命值时，随机移动至迷雾区域（无迷雾时原地不动）。己方回合开始时，己方所有单位永久＋1攻击力。;0;0;0;-1;0;0;0;-1;0;25207,25203,25307;-1;-1;1;0
16208;卫道;【反击】，失去生命值时，随机移动至迷雾区域（无迷雾时原地不动）。己方回合开始时，己方所有单位永久＋1攻击力。;0;0;0;-1;0;0;0;-1;0;25208,25204,25307;-1;-1;1;0
16209;常夜之中;己方回合开始时，己方全场覆盖迷雾。失去生命值时，随机移动至迷雾区域，己方回合开始时，己方处于迷雾的单位获得4点生命值，敌方处于迷雾的单位失去4点生命值。;0;0;0;-1;0;0;0;-1;0;25209,25306,25309,25409;-1;-1;1;0
16210;常夜之中;己方回合开始时，己方全场覆盖迷雾。失去生命值时，随机移动至迷雾区域，己方回合开始时，己方处于迷雾的单位获得6点生命值，敌方处于迷雾的单位失去6点生命值。;0;0;0;-1;0;0;0;-1;0;25210,25306,25310,25410;-1;-1;1;0
16211;月阴;己方回合开始时，己方全场覆盖迷雾，己方处于迷雾的单位获得4点生命值，敌方处于迷雾的单位失去4点生命值，弹幕卡吟唱时间＋9。失去生命值时，随机移动至迷雾区域。;0;0;0;-1;0;0;0;-1;0;25209,25306,25309,25409,25509;-1;-1;1;0
16212;月阴;己方回合开始时，己方全场覆盖迷雾，己方处于迷雾的单位获得6点生命值，敌方处于迷雾的单位失去6点生命值，弹幕卡吟唱时间＋9。失去生命值时，随机移动至迷雾区域。;0;0;0;-1;0;0;0;-1;0;25210,25306,25310,25410,25509;-1;-1;1;0
16213;月阴;己方回合开始时，己方全场覆盖迷雾，己方处于迷雾的单位获得4点生命值，敌方处于迷雾的单位失去4点生命值，弹幕卡吟唱时间＋9。失去生命值时，随机移动至迷雾区域。;0;0;0;-1;0;0;0;-1;0;25110,22110,23110;-1;-1;1;0
17001;无技能;无效果;0;0;0;-1;0;0;0;-1;0;15701;-1;-1;1;0
17002;无技能;无效果;0;0;0;-1;0;0;0;-1;0;15702;-1;-1;1;0
17003;无技能;无效果;0;0;0;-1;0;0;0;-1;0;15703;-1;-1;1;0
17004;无技能;无效果;0;0;0;-1;0;0;0;-1;0;15704;-1;-1;1;0
17005;无技能;无效果;0;0;0;-1;0;0;0;-1;0;15097;-1;-1;1;0
17006;无技能;无效果;0;0;0;-1;0;0;0;-1;0;15098;-1;-1;1;0
17007;无技能;无效果;0;0;0;-1;0;0;0;-1;0;15099;-1;-1;1;0
17008;治愈;恢复所有生命值;5;0;0;1;7;0;0;1;99;15001;1;1;1;0
17009;无技能;无效果;0;0;0;-1;0;0;0;-1;0;22222;-1;-1;1;0
17010;神枪冈尼尔;敌方随机单位，失去9点生命值。（共可使用3次，每回合至多可用3次。）;3;0;0;0;4;2;0;22;-9;15005;3;3;1;0
17011;无技能;无效果;0;0;0;-1;0;0;0;-1;0;22222;-1;-1;1;0
17012;南华庄专用主神技能;无效果;0;0;0;-1;0;0;0;-1;0;17212;-1;-1;1;0
17013;南华庄专用主神技能;无效果;0;0;0;-1;0;0;0;-1;0;17213;-1;-1;1;0
17212;乱发脾气;受到攻击伤害时，敌方所有单位失去2点生命值。;0;22;0;0;7;0;0;1;-2;0;-1;-1;1;0
17213;迷踪风暴;己方回合开始时，敌方所有单位失去5点生命值。;0;6;0;0;7;0;0;1;-5;0;-1;-1;1;0
18800;PVE用;无效果;0;0;0;-1;0;0;0;-1;0;22222;-1;-1;1;0
19907;PVE用;无效果;0;0;0;-1;0;0;0;-1;0;29907;-1;-1;1;0
19910;日耀;舍弃所有手牌。;0;0;0;1;5;0;0;23;1;0;1;1;1;0
19912;PVE用;无效果;0;0;0;-1;0;0;0;-1;0;29912;-1;-1;1;0
19991;再起的大愿;发动效果后，己方全场覆盖不可被解除的迷雾，持续1回合，己方所有单位获得10点生命值，持续2回合。;7;0;0;1;8;0;0;25;1;12001,15001;1;1;1;0
20001;不羁;自身＋护盾时，永久＋1攻击力（每回合至多发动3次）；命中敌方单位时，提高1点生命值上限并获得1点生命值。;0;11;0;1;6;0;0;2;1;21901,21936;-1;-1;1;0
20002;悖逆;另一附属神永久处于迷雾（仍然会受到伤害）。己方回合开始时，受此效果影响的单位获得【圣盾】，永久＋1攻击力。;0;15;0;1;9;0;0;25;2;22006,22002;-1;-1;1;0
20003;先锋;攻击后，己方所有单位＋2护盾；自身＋护盾时，+1攻击力，持续1回合。;0;3;0;1;7;0;0;5;2;21917;-1;-1;1;0
20004;赤口之祟;游戏开始时，己方另一体附属神永久＋3攻击力，自身初始移动力＋1，每移动1格，获得1张弹幕卡［赤口］（行动点消耗：3／攻击力：13／装填时间：1／攻击范围：十字／常规伤害弹幕）（每回合至多发动2次）。;0;1;0;1;5;0;0;21;49803;28004;2;-1;1;0
20005;智囊;每移动1格己方所有单位＋1护盾。自身＋护盾时，己方所有单位获得2点生命值和提高1点生命值上限。（每回合至多发动4次。）;0;2;0;1;7;0;0;2;1;22007,21918;4;1000;1;0
20006;豪腕;己方回合开始时，攻击力变为生命值的1／5，向下取整。自身＋护盾时，获得5点生命值（每回合至多发动3次）。;0;6;0;1;6;0;0;20;20;21910;-1;-1;1;0
20007;国仇;离场时，召唤1体［遗恨］（攻击力：35／生命值：1。攻击后自身离场，自身离场时，召唤［因幡的白兔］）。;0;21;0;1;1;2;0;6;22057;0;-1;-1;1;0
20008;奉天承命;【坚壁】，自身＋护盾时，获得5点生命值。自身＋护盾时，抽1张卡（每回合至多发动2次）。;0;6;0;1;10;0;0;19;1;22005,21919;1;1000;1;0
20009;业火;【反击】，自身＋护盾时，所有不处于迷雾的单位失去5点生命值（每回合至多发动5次）。;0;2;0;2;2;0;0;1;-5;24400;5;-1;1;0
20010;雷鸣震慑;命中敌方单位时，被命中单位【封刃】，同时使敌方一个随机单位【封刃】，持续1回合（每回合至多发动1次）。;0;11;0;0;20;0;0;25;8;21902;1;-1;1;0
20011;光辉之子;己方回合开始时，自身获得【圣盾】，所有不处于迷雾的敌方单位失去6点生命值。攻击解除敌方单位迷雾时，被命中单位额外失去10点生命值。;0;6;0;0;2;0;0;1;-6;22011,23011;-1;-1;1;0
20012;欺诈者;装填弹幕卡时，恢复2点行动点。（每回合至多发动3次）;0;24;0;1;5;0;0;77;2;0;3;-1;1;0
20013;爱之援助;己方回合开始时，己方所有单位获得6点生命值，敌方不处于迷雾的单位失去6点生命值。;0;6;0;0;2;0;0;1;-6;22028;-1;-1;1;0
20014;丰饶之路;每移动1格，己方祈愿倒计时－1。;0;1;0;1;5;0;0;30;-1;0;-1;-1;1;0
20015;冥河幽深;任意附属神【完全离场】后，此效果替换为离场附属神固有效果。;0;65;0;2;7;0;0;35;1;0;1;1;1;0
20016;大地护佑;每获得一张卡时，己方所有单位获得4点生命值（每回合至多发动4次）。;0;27;0;1;7;0;0;1;4;0;4;-1;1;0
20017;英灵引导;敌方附属神离场时，己方所有单位获得20点生命值。自身离场时，召唤1体［瓦尔基里］（攻击力：7／生命值：25。己方回合开始时，己方所有单位＋2攻击力，持续1回合），己方所有单位永久＋6攻击力。;0;77;0;1;1;2;0;6;22001;200171,23010;-1;1000;1;0
200171;英灵引导;自身离场时，己方所有单位永久＋6攻击力。;0;77;0;1;7;0;0;3;6;0;1;1;1;0
20018;暗闇;命中敌方单位时，敌方所有单位失去4点生命值，己方所有单位失去2点生命值。任意附属神离场时，获得1张弹幕卡［暗中潜行之魔］（行动点消耗：0／攻击力：3／装填时间：1／攻击范围：全领域冲击）。;0;11;0;0;7;0;0;1;-4;21907,23018;-1;-1;1;0
20019;彩虹桥守卫;【坚壁】，失去生命值时，永久＋1攻击力（每个回合至多发动3次）。;0;6;0;1;10;0;0;19;1;22330;1;1000;1;0
20020;狩日猎手;装填弹幕卡时，替换为装填［狩日炮］（攻击力：10／装填时间：0／攻击范围：单点）。攻击时获得1张［校准］（行动点消耗：1，攻击力：0／装填时间：0／攻击范围：单点）。;0;24;0;1;6;0;0;59;42006;27707;-1;-1;1;0
20021;大闹天宫;攻击时，无法解除迷雾。装填弹幕卡时，装填时间变为0。游戏开始时，己方手牌提高1点行动点消耗。命中敌方单位时，自身和被命中单位【封足】，持续1回合。;0;24;0;1;6;0;0;13;-999;27701,27702,27716,27717;-1;-1;1;0
20022;金仙;己方回合开始时，己方所有单位装填时间－1，抽1张弹幕卡。;0;6;0;1;7;0;0;13;-1;27703;-1;-1;1;0
20023;天眼招来;开局时上场单位为哮天犬。哮天犬离场时，召唤1体［杨戬］（攻击力：4／生命值：30。己方回合开始时，敌方所有单位永久－1攻击力，失去5点生命值（该技能效果每回合最多叠加2次））。哮天犬完全离场时，敌方全体【封刃】，持续1回合。;0;21;0;1;25;2;0;6;22034;27708;-1;-1;1;0
20024;启明;己方回合开始时，获得1张神迹卡［启明星］（行动点消耗：1，指定区域解除迷雾）。;0;6;0;1;5;0;0;21;33001;0;-1;-1;1;0
20025;守月卫士;装填弹幕卡时，己方另一附属神永久＋1攻击力（每回合至多发动2次）。己方回合开始时，随机获得1张行动点消耗为1或2的弹幕卡。;0;24;0;1;9;0;0;3;1;27709;2;999;1;0
20026;托塔天王;装填弹幕卡时，替换为装填［宝塔］（攻击力：5／装填时间：0／攻击范围：十字／常规伤害弹幕）。自身离场时，敌方全体【封刃】，持续1回合。;0;24;0;1;6;0;0;59;49801;27710;-1;-1;1;0
20027;万宝;装填弹幕卡时，自身获得圣盾（每回合至多发动1次），己方处于迷雾的单位＋4护盾（每回合至多发动2次），己方不处于迷雾的单位永久+1攻击力（每回合至多发动1次）。;0;24;0;1;6;0;0;25;3;22021,27711;1;-1;1;0
20028;八卦图;自身失去生命值时，手牌中所有弹幕卡降低1点行动点消耗（每回合至多发动2次）。攻击后，手牌中所有弹幕卡降低1点行动点消耗（每回合至多发动1次）。;0;3;0;1;42;0;0;39;-1;27712;1;999;1;0
20029;魔性;失去生命值时，随机移动至迷雾区域（无迷雾时原地不动），敌方随机单位失去 7 点生命值。失去生命值时，召唤1体［乌特迦洛基的残影］（攻击力：2/生命值：8。【坚壁】）。;0;22;0;1;6;0;0;27;1;22015,21903;-1;-1;1;0
20030;勇壮豪伟;【反击】，【忍耐】2。每当手牌数变更时，攻击力变为与手牌数相等。自身失去生命值时，抽1张牌（每回合至多发动3次）。;0;61;0;1;6;0;0;84;1;25153,23061,29701;-1;-1;0;0
20031;龙之宝藏;自身失去生命值时，召唤1体【冰霜巨人】（每回合至多发动1次）。任意单位离场时，双方所有单位失去3点生命值，（每回合至多发动 3 次）。;0;22;0;1;1;2;0;6;22030;22014;1;999;1;0
20032;红王;攻击时，召唤1体【坚冰巨人】（每回合至多发动2次）。离场时，不处于迷雾的单位失去20点生命值，其他单位失去10点生命值。;0;21;0;2;2;0;0;1;-20;22016,23016;-1;-1;1;0
20033;追魂魔喙;自身被命中时，敌方攻击单位解除迷雾。命中敌人时，解除十字区域迷雾。攻击时，敌方随机解除1格迷雾。;0;20;0;0;11;0;0;8;1;22013,29702;-1;-1;1;0
20034;贪婪之祸;与菲妮亚同时在场时，每回合永久＋1攻击力，己方所有单位提高2点生命值上限并获得2点生命值，并获得1张神迹卡【贪婪之祸】。当菲妮亚离场时，梅尼亚一同离场。;0;36;0;1;7;0;0;2;2;20237,20337,20437;-1;-1;1;0
20035;强欲之灾;与梅尼亚同时在场时，每回合永久＋1攻击力，己方所有单位提高2点生命值上限。并获得1张神迹卡【强欲之灾】。当梅尼亚离场时，菲妮亚一同离场。;0;36;0;1;7;0;0;2;2;20238,20338,20438;-1;-1;1;0
