编号;名称;种类;技能名称;攻击力;生命值;技能;势力;画师;CV;技能发动;语音阵亡;语音攻击1;语音攻击2;语音杂谈1;语音杂谈2;基本信息;背景描述;故事1;故事2;故事3;故事4;故事5;调试中
20028;太公望;;;;;;太清殿;松花;岩松 泉;见识一下情报操纵的力量！;信息量超载了吗?;我讨厌体力劳动！;删除消息！;掌控信息的人就能掌控一切！;动动嘴就好了，这样。;角色名字：太公望_所属势力：太清殿_称号：天导之智_兴趣：情报搜集_喜欢的事物：情报_讨厌的事物：愚昧，盲信;太清殿的智者_聪慧机敏，深得道德天尊的信任，有丰富的对妖物和神灵作战经验。_与太乙真人相似，认为无论现世还是神界都是由情报构成的，只要能够操纵情报，就能重构整个世界的基础。_讨厌前线工作，更热衷于后方支援。身为人类时曾作为帝王的军师大活跃，偶尔会表现出作为军师时的睿智。_因为可以从囤积贩卖周边产品中得利，所以不限地域的热爱偶像。_常年足不出户，和天照在社交网络上是好友。;［忠臣良将］_道德天尊与元始天尊在道的方向性上产生分歧时，太公望没有做出任何表态，而在道德天尊为了引人向道决定消灭所有神灵时，太公望率先加入了太清殿，作为道德天尊忠实的拥护者活跃着。;［干涉者］_太公望作为太清殿首屈一指的情报操作者，很大程度上能够通过情报操作，隔绝其他势力信仰在太清殿所在领域的传播。而这种硬性干涉也让太清殿难以从其他神界得到信仰心。对此，太公望认为，其他的神灵最终都会消亡，只需要耐心等待即可。;;;;0
20029;乌特迦洛基;;;;;;尼夫尔海姆;RitoruG;堀江 由衣;欢迎来到幻像的舞会。;舞会结束了……;为了我倒下吧～;共舞一曲吧～;不要着急，还有很～～多的时间～;让舞伴久等是失礼的行为哦～;角色名字：乌特迦洛基_所属势力：尼夫尔海姆_称号：大幻术师_兴趣：玩弄他人_喜欢的事物：恶作剧，华丽的点心_讨厌的事物：丑陋的衣服，破烂的场所;尼夫尔海姆三王议会的一员，约顿海姆的掌管者。_巨人中少有的理性派，但性格刁钻古怪，喜欢天真不怀疑的人，以戏弄人为乐。尼夫尔海姆的军师，大幻术师，知晓众多秘密与传说的秘法。与约莫加德之间有某种联系。和普通的巨人族不一样，拥有极高的生活水准要求。_名为“外域的洛基”，但不知与阿斯嘉德的“洛基”有何关系，疑似曾担任过阿斯嘉德的“洛基”。_怂恿伊米尔发动诸神黄昏。_持有社交网络账号。;［巨人的贤王］_作为尼夫尔海姆的军师，乌特迦洛基擅长魔法、巫术、药学等诸多技能，知晓许多已被遗忘的秘密。她向伊米尔建言发动诸神黄昏，颠覆世间一切的不平等。;［外域的洛基］_虽然持有“洛基”之名，但始终无法印证乌特迦洛基与阿斯嘉德的洛基之间存在任何直接联系，只能从她对诸神黄昏的执念上猜测她或许蹭担任过阿斯嘉德的某一任“洛基”。;［骗局］_乌特迦洛基声称发动诸神黄昏会让所有神灵之间的信仰达到一个平等的状况，完全信任这一点的伊米尔开始积极掠取信仰为诸神黄昏做准备。而伊米尔不知道的是，乌特迦洛基所说的“平等”实际上是任何信仰都归于虚无，而这也是诸神黄昏真正的目的。;;;0
20030;赫朗格尼尔;;;;;;尼夫尔海姆;RitoruG;清水 じゅん;伤口是对战士的褒奖。;我居然…输了？;粉碎你们！;这招如何！;……你在叫我吗?;在我的……故乡……;角色名字：赫朗格尼尔_所属势力：尼夫尔海姆_称号：冻原的蛮王_兴趣：饮酒_喜欢的事物：酒，酒精饮料，马_讨厌的事物：欺骗，败北;尼夫尔海姆三王议会的一员。_个性粗犷坚韧，是标准的霜巨人。_好酒，酒品十分糟糕。如外表所见，完全是粗犷的性格。_对计策和战术等不屑一顾，认为战斗就是全力照敌人的脸拍过去。_某次诸神黄昏前与阿斯嘉德众神发生纠纷，决斗时被击败，所以讨厌所有阿斯嘉德人。_照顾着摩克卡菲。;［蛮王］_赫朗格尼尔掌管着霜巨人中以战斗力著称的一支族群，仅靠强壮的体魄和巨大的力量，他们就能对阿斯嘉德构成威胁。但由于过于依赖蛮力，和赫朗格尼尔协同作战实际上非常困难。;［愚者的意志］_数次诸神黄昏都以失败告终之后，信仰衰退的危机也影响到了尼夫尔海姆。失去信仰或信心的巨人族群渐渐离开了尼夫尔海姆，只有赫朗格尼尔和少数坚持要与阿斯嘉德抗争到底的霜巨人留了下来。;［愚者的意志］_数次诸神黄昏都以失败告终之后，信仰衰退的危机也影响到了尼夫尔海姆。失去信仰或信心的巨人族群渐渐离开了尼夫尔海姆，只有赫朗格尼尔和少数坚持要与阿斯嘉德抗争到底的霜巨人留了下来。;;;0
20031;法夫尼尔;;;;;;尼夫尔海姆;RitoruG;富澤 雄基;休想拿走我的财产！！;我的宝物…我的力量……;从我面前消失！;别过来！;以前我也是一个键盘侠，直到……;啊！健身卡的时限快要到了！;角色名字：法夫尼尔_所属势力：尼夫尔海姆_称号：红龙_兴趣：视频游戏_喜欢的事物：钱，游戏，垃圾食品_讨厌的事物：盗贼;原本是居住在尼夫尔海姆的侏儒族，在巨人的生活区和兄弟们一起生活，常因身材瘦小被欺负。_承接了阿斯嘉德的工程但没有得到工钱，争执之后获得尼伯龙根指环作为抵偿，并意外发现指环中封印着铸造者阿尔贝莉琪的灵魂。在阿尔贝莉琪的引导下开始锻炼身体，获得了强韧的肉体，为了更好的守护指环，化身成了一条龙。_称呼阿尔贝莉琪为师父，对阿尔贝莉琪为何会被封印在指环内没有兴趣。害怕与人接触的个性没有随着身体强壮有任何改观。_尼夫尔海姆内为数不多的热衷网络者。;［工人］_在成为红龙之前，法夫尼尔是生活在巨人聚居地的侏儒族一员，与兄弟们一起在各地从事房屋建筑的工作。在为阿斯嘉德修筑城墙之后，阿斯嘉德方面打算赖掉工钱。这引起了法夫尼尔的不满，在与阿斯嘉德方激烈争吵后，最终得到了尼伯龙根的指环作为报酬。;［死者的诅咒］_法夫尼尔得到指环之后，意外发现指环中寄宿着铸造者阿尔贝莉琪的灵魂。被洛基所欺骗并杀害的阿尔贝莉琪，将对阿斯嘉德的巨大仇恨灌输给了法夫尼尔，同时怂恿法夫尼尔进行健身以便更好地保护指环。;［红龙］_听从了阿尔贝莉琪的指导，法夫尼尔获得了强壮的肉体，但这对于法夫尼尔来说还远远不够。为了不让戒指被夺走，法夫尼尔运用了戒指中秘藏的复仇之力，将自己和阿尔贝莉琪的仇恨完全连接在一起，变成了一条红龙。;;;0
20032;史尔特;;;;;;尼夫尔海姆;松花;阿澄 佳奈;燃烧吧！世界！燃烧吧！！！;燃烧……;嘿呀！！;燃烧殆尽吧！;无聊到想要点火了。;要烧什么？要烧什么？要烧什么？;角色名字：史尔特_所属势力：尼夫尔海姆_称号：红王_兴趣：破坏_喜欢的事物：锻造工具和技术，破坏类武器_讨厌的事物：和平主义者;尼夫尔海姆三王议会的资深成员，穆斯贝尔海姆之王。_性格不安定，疯狂的执着于毁灭一切，合作精神为零。掌管着火巨人领域穆斯贝尔海姆，擅长锻造。_拥有铸造神器的能力，不过多半还是铸造武器。持有曾属于弗雷的胜利之剑，经过改造后成为了魔剑雷瓦汀。_获得过一次诸神黄昏的胜利，也是唯一一次巨人方获胜。_和伊米尔只是合作而非服从，对乌特迦洛基持警戒态度。;［黄昏的最终号角］_史尔特曾在古早的诸神黄昏中获得过唯一一次胜利，也因此了解了诸神黄昏的原理和真相。但过大的信息量冲毁了构成原本史尔特的大部分情报，重生之后的史尔特仅剩下可悲的破坏欲与一定要发动诸神黄昏的使命感，作为诸神黄昏的终局者和破坏世界的魔神被传颂着。;［锻造匠］_受使命支配的史尔特，为了能在诸神黄昏中获得更大的优势，将自己的力量深深植入现世之中。史尔特将因火产生的蒸汽作为赠礼送给现世，希望人类能使用这力量，最终打开史尔特进入现世的大门，以便直接摧毁一切神灵信仰心的根基。不过，很快蒸汽就被电力取代。;［火的造物］_小伎俩失败之后，史尔特意识到，毁灭的最佳途径依然是武器。于是史尔特开始不断凝缩火焰，将自身的信仰精炼化，再将这些精炼过的火种投入现世。当现世大规模使用这些火种时，史尔特就可以穿过毁灭的烈火进入现世。;;;0
20033;赫拉斯瓦尔;;;;;;尼夫尔海姆;松花;山根 希美;……食物的香味?;我还没有吃饱……;不要躲了！;放弃抵抗吧！;肚子饿了……;没事的话，我就先回去了哦。;角色名字：赫拉斯瓦尔_所属势力：尼夫尔海姆_称号：噬魂者_兴趣：无_喜欢的事物：罪人的灵魂_讨厌的事物：海拉，瓦尔基里;在尼夫尔海姆附近徘徊的魔兽型巨人。_以无法进入英灵殿又无法进入冥界海姆的灵魂为食，因为伊米尔“能吃到饱”的许诺加入尼夫尔海姆。_性情阴晴不定，食物多容易开心。_视力很好忘性很大，本能的和迦楼罗亲近，离开后又会很快忘记对方。_根据距离远近判断敌友，害怕眼球形状的物品。;［噬魂者］_赫拉斯瓦尔在加入尼夫尔海姆前，完全依据本能在世界树的外围游荡，寻找无法进入死者国度的灵魂，将他们吃掉。偶尔会袭击将死的罪人，提前将他们的灵魂拎出来作为食物。;［无目的性］_在得到伊米尔“吃到饱”的许诺后，赫拉斯瓦尔加入了尼夫尔海姆。但很快，巨人们就发现她在没有指挥的情况下会，突然攻击友军，因此在巨人之中造成了巨大的不安。实际上只是赫拉斯瓦尔完全理解错了吃饱的意义，将友军的巨人也当成了食物。;［觅食地］_神界乱战开始后，赫拉斯瓦尔发现庄周和她的梦界旅者军团，与神界的居民们散发着不同的味道。他认为庄周能够带领自己找到更多食物，于是赫拉斯瓦尔开始在南华庄附近徘徊。;;;0
20034;梅妮亚;;;;;;尼夫尔海姆;RitoruG;森田 さつき;菲妮亚！借给我力量！;菲…菲妮亚……;我、我也是会生气的哦！;我不干了！;还要工作多少年才能解除契约呢？;违约金要怎么办……;角色名字：梅妮亚_所属势力：尼夫尔海姆_称号：劳工_兴趣：计数_喜欢的事物：菲妮亚_讨厌的事物：弗雷;在弗雷的金融公司工作的巨人_个性软弱，没有主见。求职时与弗雷签下了不正当的劳务合同，担任弗雷金融的前台接待和放贷人，没有这些工作时在磨坊进行体力劳动。_想以协商的方式改变工作条件，但每次都以失败告终。_唯一能交流情感的对象是妹妹菲妮亚。_受伊米尔劝诱加入尼夫尔海姆。为了不支付违约金，下决心要在诸神黄昏中胜利并打倒弗雷。;［劳工］_梅妮亚与菲妮亚憧憬大城市的生活，在离开巨人聚居地去阿斯嘉德寻找工作时，与弗雷签下了不正当的劳务合同。然而超长的劳动时长、恶劣的工作条件、微薄的薪水、中断工作还要支付巨额的赔偿金成为了姐妹两的噩梦。;［抗争］_为了改变现状，梅妮亚和菲妮亚进行了多方尝试，但因为梅妮亚希望改善工作条件继续在大城市生活，而菲妮亚则希望解约后回到巨人聚落去，最终不正当劳工的生活还得继续下去。;［革命］_伊米尔得知两姐妹在弗雷处的不正当待遇后，邀请她们进入尼夫尔海姆的军团。为了能实现在大城市生活的梦想，也为了避免支付巨额的解约金，梅妮亚与菲妮亚同意了伊米尔的劝诱，为了成功发动诸神黄昏努力战斗着。;;;0
20035;菲妮亚;;;;;;尼夫尔海姆;RitoruG;谷野 悠里子;梅妮亚！借给我智慧！;梅妮亚！;我不干了！;这样梅妮亚会生气的！;梅妮亚就是我活下去的理由……;违约金？怎么可能交的出来啊……;角色名字：菲妮亚_所属势力：尼夫尔海姆_称号：劳工_兴趣：制造黏土土偶_喜欢的事物：梅妮亚_讨厌的事物：弗雷;在弗雷的金融公司工作的巨人_个性粗鲁，脾气暴躁。_求职时与弗雷签下了不正当的劳务合同，担任弗雷金融的收债人，没有这些工作时在磨坊进行体力劳动。_想以暴乱的方式断绝和弗雷的契约，但顾忌梅妮亚而没有实施。唯一能交流情感的对象是姐姐梅妮亚。_受伊米尔劝诱加入尼夫尔海姆，为了不支付违约金，下决心要在诸神黄昏中胜利并打倒弗雷。;［劳工］_梅妮亚与菲妮亚憧憬大城市的生活，在离开巨人聚居地去阿斯嘉德寻找工作时，与弗雷签下了不正当的劳务合同。然而超长的劳动时长、恶劣的工作条件、微薄的薪水、中断工作还要支付巨额的赔偿金成为了姐妹两的噩梦。;［抗争］_为了改变现状，梅妮亚和菲妮亚进行了多方尝试，但因为梅妮亚希望改善工作条件继续在大城市生活，而菲妮亚则希望解约后回到巨人聚落去，最终不正当劳工的生活还得继续下去。;［革命］_伊米尔得知两姐妹在弗雷处的不正当待遇后，邀请她们进入尼夫尔海姆的军团。为了能实现在大城市生活的梦想，也为了避免支付巨额的解约金，梅妮亚与菲妮亚同意了伊米尔的劝诱，为了成功发动诸神黄昏努力战斗着。;;;0
20036;芬里尔;;;;;;尼夫尔海姆;松花;舞原 ゆめ;只是咬一小口而已，没关系吧？;还有想吃的东西……;吼啦！;吃了你们！;饥饿是最好的调味料。;呐，让我咬一口…就一口……;角色名字：芬里尔_所属势力：尼夫尔海姆_称号：魔狼_兴趣：吃_喜欢的事物：能吃的东西_讨厌的事物：不能吃的东西;尼夫尔海姆的魔兽型巨人，某位“洛基”之女。_食欲的具现化，不挑食，有着吞食整个世界的力量，咬掉了提尔的手臂。_出于安全考虑，真正的战斗开始之前就被阿斯嘉德限制了自由。_长期受到拘束，虽然被伊米尔解放，但无法打开身上的铁链。等待铁链自然脱落中。;［受缚的魔兽］_“洛基”所生的魔物之中，芬里尔是最受到阿斯嘉德忌惮的存在。为了不让芬里尔在诸神黄昏前就将世界全部吞食，阿斯嘉德每次都会在开场时限制芬里尔的自由。;［自由的芬芳］_伊米尔决定发动诸神黄昏后，率先突袭了囚禁芬里尔的地区，将她解救了出来，但是阿斯嘉德众神打造的囚禁芬里尔的锁链却无法被解开，芬里尔的食量在很大程度上被限制住了。即使如此，芬里尔也决定珍惜这来之不易的自由和享受食物的机会。;;;;0
20037;约莫加德;;;;;;尼夫尔海姆;RitoruG;吉田 幸代;人家在节食啦！;有瘦下来吗……;我才不重！！;你们才是胖子！;我也有办健身卡哦，虽然没去过……;零食装在另一个胃里！;角色名字：约莫加德_所属势力：尼夫尔海姆_称号：缠绕世界的大蛇_兴趣：吃_喜欢的事物：精致的食物_讨厌的事物：粗糙的食物;尼夫尔海姆的魔兽型巨人_对少女心有着谜之误解，自认为少女力很高。_挑食，只喜欢精美的食物，又因是非常容易发胖的体质，所以很在意体重，以大力著称的托尔都无法抱起她，对此有心理阴影。_和啃咬世界树之根的尼德霍格是老相识，对尼德霍格选择食物的眼光非常不屑。_芬里尔和海拉名义上的姐妹，但关系一般。_没有被限制但懒得移动，认为运动减肥都是胡说。;［懈怠］_约莫加德原本作为能够毁灭世界的魔兽，被寄予厚望。但久而久之，所有的巨人和阿斯嘉德神灵都遗忘了约莫加德真正的使命。自己都不记得的事情就是不存在的事情，抱着这样的想法约莫加德开始了悠闲的长肉生活。;［终焉的大蛇］_没人记得约莫加德的使命，但不代表她就是无害的。因为看中了约莫加德在战力上的优势，尼夫尔海姆的巨人以牛肉大餐为契约，成功将约莫加德拉拢至自己的阵营。在享受了尼夫尔海姆巨人们供奉的牛肉之后，约莫加德感觉自己好像想起了什么，为了能唤醒记忆，约莫加德认为自己现在需要吃更多美味的食物。;;;;0
20038;辉夜;;;;;;高天原;松花;野方 こはる;燕之子安贝复制装置启动！;这种事……肯定是哪里搞错了。;接下吾的愤怒吧！;龙首之玉攻击！;真不习惯这具身体啊……;正义什么的都是虚伪的自我满足罢了。;角色名字：辉夜_所属势力：高天原_称号：异常_兴趣： 无_喜欢的事物： ？？？_讨厌的事物：长生不老，太清殿;月读侵攻要塞广寒所得的最大也是唯一的战果_由嫦娥恢复身体而来的神灵，借用了月读曾经的下属“辉夜”之名，为了寻求对抗太清殿的力量加入了高天原。_持有太清殿的秘法，不老不死之药，对将自己改造成机械身体的道德天尊怀有莫大的仇恨。;［月面战争］_在月读对太清殿的月球要塞广寒发动攻击时，曾对广寒的守护者嫦娥发动了程序入侵，导致嫦娥一时脱离了太清殿的控制。虽然在梦界旅者与太阴星君的努力下，太清殿成功夺回了要塞广寒，但谁都没有注意到嫦娥的异常。找回了人类情感的嫦娥联系了战败撤退的月读，使用广寒的设备成功重塑了一具肉身。_其后，嫦娥击败了太阴星君，夺取了广寒的控制权并向太清殿发起了攻击。在梦界旅者的努力下很快就被镇压，但实际上这一切都是嫦娥为了转移“另一个自己”设下的计谋。趁着广寒陷入混乱成功与月读取得了联系的复制体，借用了“辉夜”之名，于高天原潜伏下来，等待着向太清殿复仇的时机……;;;;;0
20039;蒂阿兹;;;;;;尼夫尔海姆;松花;舞原 ゆめ;我是最强哒！;我，我才没输，只是肚子痛而已！;别小看我！;这里也是我的领域！;我可是大海的支配者！;泡在水里太久对皮肤不好;角色名字：蒂阿兹_所属势力：尼夫尔海姆_称号：海魔_兴趣：钓鱼_喜欢的事物：乌贼_讨厌的事物：蔬菜;海巨人的领袖，尼夫尔海姆霜巨人忠实的盟友。_有强大的支配欲和控制欲。_山巨人，因领地内海巨人众多，所以成了海巨人的领袖，不会游泳。_曾和华纳神的领袖尼约德达成同盟，共同颠覆阿斯嘉德，却在战况吃紧时选择无差别攻击，最终导致盟约破裂，华纳神族加入了阿斯嘉德。_同盟的失败导致了蒂阿兹在诸神黄昏中的落败，为了防止再次发生一样的事情，蒂阿兹派出大量间谍潜入阿斯嘉德。_将偶然遇到的大乌贼当坐骑使用，讨厌因身高被小看。_和尼约德、波塞冬、须佐之男等作为艺术品收藏同好会成员，彼此经常为了找到的艺术品归属权而争吵。;［海巨人的领袖］_蒂阿兹原本是居住在索列姆海姆的山巨人祭司，因为临近海原，所以当地居民以海巨人居多。持有法力的蒂阿兹被海巨人拱为领袖，在整个过程中，没有海巨人在意蒂阿兹一直在重申的，她不会游泳的事实。;［黄昏前哨战］_蒂阿兹探听到，索列姆海姆的巨人族并不如伊米尔和三王议会旗下的巨人族善战，所以她积极采取联盟策略，在大势力旗下不断转换立场以谋求发展，甚至有过劫持青春女神伊登让阿斯嘉德陷入大混乱的战绩。曾经为尼夫尔海姆在诸神黄昏中占得过先机，但是这些功绩很快就因为蒂阿兹的败北全都化为乌有。;［山与海之间］_总结之前在诸神黄昏中的失败，蒂阿兹在神界的乱战开始后，重新联系了自己的旧盟友尼约德，同时将自己的间谍打入阿斯嘉德，不断寻找着时机，以求一举攻下阿斯嘉德。;;;0
20040;哈努曼;;;;;;阿摩婆罗提;RitoruG;宮内 佐和子;我的子民们！响应我的召唤！;我肩负着人民的希望……;为了我们猿群！;把碍事的家伙都打倒！;你们的忠诚必将得到回报！;实在太无聊到快死了～;角色名字：哈努曼_所属势力：阿摩婆罗提_称号：大猿王_兴趣：爆破_喜欢的事物：自由，有反抗精神的人_讨厌的事物：懦弱的人，权力者，有钱人;阿摩婆罗提的外部援助，毗湿奴的好伙伴。_性格正面积极，不拘小节。非常睿智，极具观察力。猴群的领导者，具有天生的猴群亲和，被猴子们认定为真正的王。_曾派出过分灵作为攻击太清殿的先锋，但在分灵战败后失踪，始终无法原谅太清殿。和阿摩婆罗提的神灵关系都很好，但讨厌被当做吉祥物。_在毗湿奴曾行走人世时，作为旅行的伙伴提供了很多帮助。不知为何，高天原的神灵认为他跟狗、鸡关系很好。_在社交网络上遇见过主张猴群独立并建国的用户。他认为这样的言论会让其他神灵误以为自己有叛心，让大量的猴子去举报了该用户。;［东国最前线］_阿摩婆罗提的猿神分灵前往东北方的神界后，突然断绝了联系。在长久的等待后，他对分灵的消息不再抱有希望，然而，再次出现在自己面前的分灵已然完全变成了不同的样子。为了调查发生在分灵身上的事件，猿神决定亲自前往分灵当时所去的神界。;［大猿王的血脉］_被太清殿改造过的分灵，虽然已经完全不记得自己原来的身份。但因为努曼的血脉的亲和无法轻易被切断，名为孙悟空的神灵从内心深处憎恨着太清殿，却又不得不与太清殿合作。哈努曼发现只要活用这种特质，说不定可以将分灵从太清殿的控制下解救出来。;［分道扬镳］_哈努曼努力强化自身对太清殿的憎恨感，希望通过血脉的亲和将这种憎恨传达给自己曾经的分灵，帮助她摆脱太清殿的控制。激进的努力最终造成了相反的效果，孙悟空对这种血脉的控制产生了强烈的抵触情绪，拒绝了哈努曼的“帮助”并将她视作敌人。;;;0
20041;大物主;;;;;;高天原;spirtie;かとう 有花;这是我的王国，我的领域！;明明只差一步了……;这份仇恨，铭记于心吧！;滚出去！;变卦是最差劲的！;我不能在这里浪费时间！;角色名字：大物主_所属势力：高天原_称号：国津神的旗帜_兴趣：射箭_喜欢的事物：国津神_讨厌的事物：天津神;日本神话传说中，大国主创国时出现在海上代表吉兆的神灵，实际上是大国主的幸魂与奇魂_换言之就是大国主的分灵之一，拥有超乎寻常的豪运，在任何逆境中都不会陷入绝望。_在西方来者的煽动下，向天津神揭起了反旗。_忍辱负重完成了诸多艰难困苦的任务后，大国主终于等到了机会，在月面战争中与月读达成了互不干涉协定，成功与自己过去的军师少彦名汇合。_最终在赫里奥波利斯的大神拉为所有遭受不公的神灵复仇的宣告下，大国主以创国时的吉兆，自身的幸魂“大物主”为名，集合国津神对天照发起了叛乱。;［再起的大愿］_在被抄没领土之后，大国主一直在高天原当着食客，隐匿着自己的野心。_在神界的乱战中，大国主看到了天照的无能为力，在来自西方的使者向大国主展现了反抗不公的愿景后，即使知道自己只是被利用，大国主还是响应了赫里奥波利斯的号召，与阿斯嘉德的弗雷呼应着同时发动了。;［叛乱］_如果国津神的叛乱能激起天照的斗争心，让高天原在神界的乱战中不至于覆灭，那自己被消灭也心甘情愿，但若这样也无法让娇生惯养的公主振作起来，那时就只好由自己来领导整个高天原了。_怀抱着纯粹的忠心与私心，大国主毫无迷惘的背负起反乱的大旗前往战场。;;;;0
20042;弗雷·夏之王;;;;;;赫里奥波里斯;松花;白壁 爽子;游戏就到此为止了！;不可能！;这就是我真正的力量！;别以为我还和以前一样！;精灵们必将摆脱压迫！;这种无力感…和以前一样……;角色名字：弗雷·夏之王_所属势力：华纳海姆_称号：黄金之王／夏之王_兴趣：剑术_喜欢的事物：芙蕾雅，黄金_讨厌的事物：肮脏的东西;华纳神的现任领袖_脱去懦弱的伪装，展现出自己卓绝的领导力与野心。参与过多次诸神黄昏，多数时候与阿斯嘉德并肩作战，曾在过去的诸神黄昏中有着“最后的勇者”之称，疑似是非常强悍勇敢之神。_在华纳族女巫古尔薇格处接受教育，和托尔关系很好，和史尔特关系十分恶劣。_认为华纳神在阿斯嘉德内的待遇是不公正的，为了贯彻光复华纳神族的理想，即使与宿敌史尔特联手也在所不惜。持有名为胜利之剑的秘宝，被认定为终结诸神黄昏的关键。经营着金融公司，贷款利息极高，和一部分巨人关系很好，也雇佣一些巨人在自己的公司工作。在向阿斯嘉德发起攻击时，一部分巨人也加入了攻击队伍。_和水蛭子是商业伙伴。;［华纳的领袖］_作为华纳神与阿斯嘉德和睦的象征，弗雷与父亲尼约德一起进入阿斯嘉德，以奥丁的名义与巨人作战。在尼约德成为奥丁的顾问后，弗雷继承了华纳神族的领袖之位，为了华纳神族能够在阿斯嘉德获得更好的生存条件，弗雷隐藏起了自己高傲睿智的一面，跪拜在奥丁的王座前。;［重任］_在阿斯嘉德漫长的岁月中，弗雷与阿斯嘉德众神一起阻止了多次诸神黄昏的发动，在无数次与发动黄昏的巨人作战后，弗雷意识到，阿斯嘉德众神并没有把华纳神当做真正的同伴。为了给族人争取应有的地位，弗雷多次向奥丁申诉，但都没有结果。;［终焉的勇者］_在史尔特取得诸神黄昏胜利时，弗雷便认为阿斯嘉德并没有能力为华纳神族带来期望的未来。自那之后便一直积极地为应对诸神黄昏筹备战力，虽无法完全把握诸神黄昏的原理，但调查的诸多证据使弗雷相信，自己所持有的“胜利之剑”是在这场劫难中胜利的关键。;;;0
20043;日耀帝君;;;;;;太清殿;RitoruG;伊藤 あすか;一切都将在梦中归于寂静。;真是不错的梦呐～;晚安;再见了伪物们;就这样被人遗忘也不错;你掉线了?;角色名字：太乙真人／日耀帝君_所属势力：太清殿_称号：无_兴趣： 无所事事_喜欢的事物：人体改造，蹚浑水_讨厌的事物：博爱主义者，无差别的善意;玉清殿元始天尊的弟子，奉命支援道德天尊。_性格乖僻，本质上不愿干涉他人，绝对中立，但为了不让人将自己误解成善良的人，会特意用让人讨厌的方式行事。_李靖（毗沙门天）和哪吒（哪吒俱伐罗）的改造者，自称是两者的师父。_基本只按道德天尊的指示行事，意外的与太白金星投契，大概是因为精神年龄接近的缘故。_对太公望和杨戬等道德天尊的弟子，以“望仔”和“戬仔”这样奇怪的昵称来称呼，被李靖称作“主人”而不是“师父”。因改造造成了哪吒的精神不稳定，为了监控和调整哪吒的精神状态，早期曾一直陪护在哪吒身边，被哪吒所依恋。_对道德天尊改造出的失败品孙悟空非常看不起。_虽然有平板电脑，但并没有在上网，反而只是用平板电脑显示出的图案代替自己的表情。_有时会表现出信息还停留在上个世代的状态，例如将手机叫做传呼机。;［历战的仙人］_太乙真人从未错过任何一场与道相关的战斗，有着丰富的战斗经验和战斗技巧，是三清最值得信赖的顾问之一。有传言说，与太乙真人战斗过的对手全都会消失，之后便会看到太乙真人增加了新的弟子，或是弟子们增加了新的武装或能力。;［元始天尊］_道德天尊开始消灭伪神的战斗后，元始天尊便派太乙真人前往支援道德天尊，但在太清殿内部流传着太乙真人其实是元始天尊的探子的说法，派来监视道德天尊的进展状况。也有说法认为前往太清殿的并不是真正的太乙真人，而是由元始天尊本尊假扮的。因为没有任何证据，而太乙真人确实在好好的工作，所以这些流言也就慢慢消散了。;［神出鬼没］_“跟在太乙真人身后，转过拐角时就不见了！”“太乙真人突然会从纸箱里钻出来！”“太乙真人同时出现在了两个地方！”诸如此类的怪谈在太清殿里不断流传。在大家能做到这些事情的神界里，这类传言的流传反而显得不正常。正因为如此，虽然没人能拿出证据，但太清殿的居民们普遍相信，太乙真人并不止一个人。;［改造魔］_太乙真人最成功的两个造物是李靖与哪吒。在太清殿的资深神灵只知道这两名神灵是用毗沙门天与哪吒俱伐罗的分灵改造而成，却没有任何人了解太乙真人完美洗去神格的手法。据说，知道真相的神灵之后就再也无法被称为神灵了。;;0
20044;【洛基】;;;;;;尼夫尔海姆;RitoruG;天野 未来;把我的名字还回来！;又成了…小丑……;为什么不相信我！;我才是真的！;连你也……不相信我吗?;我才不是小丑！;角色名字：［洛基］_所属势力：尼夫尔海姆_称号：？？？_兴趣：？？？_喜欢的事物：制造混乱_讨厌的事物：洛基;自称［洛基］的谜之神灵。_对其他的洛基有着刻骨的仇恨。_认为属于自己的名字被盗走，对夺回姓名以外的事都不感兴趣。_除约莫加德外，与洛基之名有关的其他神灵都表示对其并无印象，而约莫加德对其的印象也非常模糊，故无法得知其真实身份。_疑似因赫里奥波里斯的复仇宣言获得了力量，暂时寄宿在尼夫尔海姆，策划着对所有［洛基］的复仇。;［疯王］_不知从何而来的疯狂神灵，连伊米尔都无从得知其来历，这名没有自己氏族的［洛基］自来到尼夫尔海姆就对［乌特迦洛基］表达了露骨的仇恨。_疑似与史尔特一样是某次诸神黄昏的最终胜利者，现在却只是怨恨与执念的聚合物。声称要打倒所有的［洛基］夺回自己的名字，从现状看，只能当做一句疯话而已。;;;;;0
