StringKey,CN,JP,TEXT
unfullcardgroup,卡组不完善，无法出战,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardGroup.cs(320):				cardgroupTips.text  = ""卡组不完善,无法出战"";"
cardgroup,可创建卡组数,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardGroupManager.cs(84):		upperLimitTxt.text = ""可创建卡组数"" + cardEditManager.allgroupList.Count.ToString () + ""/"" + StGame.GetInstance ().GetUser ().maxUserCardGroupNum.ToString ();"
print,画师 : ,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardRebuild\ShowRebuildPanel.cs(190):			painterTXT.text = ""画师 : "" + StResource.GetInstance ().GetDataCard (m_cfgid.ToString ()).GetData (DataCard.DataHeader.AUTHOR);"
friendsnum,好友数 {0}/100,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(252):				text_num_friend.text = string.Format (""好友数  {0}/100"", list_friend.Count);"
friendsnum,好友数 {0}/100,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(293):				text_num_friend.text = string.Format (""好友数  {0}/100"", list_friend.Count);"
opponentrejectwarinvited,对方拒绝了你的对战邀请。,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(303):					StGame.GetInstance().ShowNotice(StGame.NoticeType.NOTICE,""对方拒绝了你的对战邀请。"");"
noexistpeople,查无此人，请确认对象ID编号\n(可在对方个人信息中查看),,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(566):				text_infor.text=""查无此人,请确认对象ID编号\n(可在对方个人信息中查看)"";"
inputuseID,无效ID，请输入有效ID。,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(573):				text_infor.text=""无效ID，请输入有效ID。"";"
friendsnum,好友数,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(592):			text_num_friend.text = string.Format (""好友数  {0}/100"", list_friend.Count);"
nofriendinlist,列表中没有好友,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(637):				text_infor.text=""列表中没有好友"";"
isgreetaddfriend,是否同意添加为好友,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(970):				im_title.text = ""是否同意添加为好友"";"
isdeletefriend,是否删除,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(973):				im_title.text = ""是否删除"";"
isrejectaddfriend,是否拒绝添加为好友,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(976):				im_title.text = ""是否拒绝添加为好友"";"
nofriendinlist,列表中没有好友,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(1262):				text_infor.text=""列表中没有好友"";"
nouserapplyfriend,并没有用户向您申请好友,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(1351):				text_infor.text=""并没有用户向您申请好友"";"
nofriendinlist,列表中没有好友,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(1871):			text_prompt.text = ""列表中没有好友"";"
searching,正在搜索...,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(1873):				text_prompt.text = ""正在搜索..."";"
noapplyfriend,尚未收到好友申请,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(1953):			text_prompt.text = ""尚未收到好友申请"";"
searching,正在搜索...,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendController.cs(1955):				text_prompt.text = ""正在搜索..."";"
online,在线,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(116):					text_Online_offline_fighting.text = string.Format(""在线"");"
offline,离线,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(122):					text_Online_offline_fighting.text = string.Format(""离线"");"
fighting,战斗中,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(128):					text_Online_offline_fighting.text = string.Format(""战斗中"");"
online,在线,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(146):					text_Online_offline_fighting.text = string.Format(""在线"");"
offline,离线,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(157):					text_Online_offline_fighting.text = string.Format(""离线"");"
fighting,战斗中,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(168):					text_Online_offline_fighting.text = string.Format(""战斗中"");"
online,在线,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(184):					text_Online_offline_fighting.text = string.Format(""在线"");"
offline,离线,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(188):					text_Online_offline_fighting.text = string.Format(""离线"");"
fighting,战斗中,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(192):					text_Online_offline_fighting.text = string.Format(""战斗中"");"
online,在线,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(206):					text_Online_offline_fighting.text = string.Format(""在线"");"
offline,离线,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(210):					text_Online_offline_fighting.text = string.Format(""离线"");"
fighting,战斗中,,"C:\SDSvn\BulletBible\Assets\Script\Friend\FriendItemController.cs(214):					text_Online_offline_fighting.text = string.Format(""战斗中"");"
guidetext1,啊啦啦，竟然听到了我的呼唤，难道你就是传说中的……,,"C:\SDSvn\BulletBible\Assets\Script\Guide\Guide.cs(171):		list_dialog.Add(new Dialog (sp_Q[7],""啊啦啦，竟然听到了我的呼唤，难道你就是传说中的……"",BpArgAction.confirm,0));"
guidetext2,嘛，无所谓了，我们所在的神界因为战斗已经快撑不住了……你需要……,,"C:\SDSvn\BulletBible\Assets\Script\Guide\Guide.cs(172):		list_dialog.Add(new Dialog (sp_Q[4],""嘛，无所谓了，我们所在的神界因为战斗已经快撑不住了……你需要……"",BpArgAction.attack,0));"
guidetext3,废话就算了，先放倒他们啦！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\Guide.cs(173):		list_dialog.Add(new Dialog (sp_Q[3],""废话就算了，先放倒他们啦！"",BpArgAction.attack,-3));"
guidetext4,随便选一位支持的神明，不用想太多。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\Guide.cs(175):		list_dialog.Add(new Dialog (sp_Q[3],""随便选一位支持的神明，不用想太多。"",BpArgAction.confirm,0));"
guidetext5,只要其中一位取胜的话，总会有办法拯救这个世界的……大概……,,"C:\SDSvn\BulletBible\Assets\Script\Guide\Guide.cs(176):		list_dialog.Add(new Dialog (sp_Q[4],""只要其中一位取胜的话，总会有办法拯救这个世界的……大概……"",BpArgAction.login,0));"
guidetext6,我也会帮忙的，轻松的上吧！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\Guide.cs(177):		list_dialog.Add(new Dialog (sp_Q[8],""我也会帮忙的，轻松的上吧！"",BpArgAction.login,-2));"
guidetips1,此关卡中，该功能未开启~,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideAI.cs(2077):				tmp.result.msg=""此关卡中，该功能未开启~"";"
guideAIName,疲惫的军师,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideAI.cs(2683):			controller.GetPk().user[1].name=""疲惫的军师"";"
guideAIName,疲惫的军师,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideAI.cs(3508):			controller.GetPk().user[1].name=""疲惫的军师"";"
guidetext7,这里是我的工坊【南华庄】，在神界行动的时候，请自由的把这里当做据点来使用。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(297):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""这里是我的工坊【南华庄】，在神界行动的时候，请自由的把这里当做据点来使用。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext8,接下去的行动……,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(298):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""接下去的行动……"");  },delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext9,嗯……,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(299):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""……嗯……"");  },delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext10,总之就是战斗！击败占据其他神界的敌人，恢复那些神界的和平吧！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(300):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""总之就是战斗！击败占据其他神界的敌人，恢复那些神界的和平吧！"");  },delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext11,好了好了，赶紧去确认一下【阵容】吧，那可是你战斗的基本。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(301):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""好了好了，赶紧去确认一下【阵容】吧，那可是你战斗的基本。"");  },delegate(){"
guidetext12,嗯！？这是…,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(337):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[4],""嗯！？这是…"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext13,负责【献祭】和【重铸】的是个有点奇怪的孩子，看来在你的实力得到认同之前是没法使用的。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(338):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[5],""负责【献祭】和【重铸】的是个有点奇怪的孩子，看来在你的实力得到认同之前是没法使用的。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext14,不过现在也不用在意这些事情。现在，去【编辑阵容】！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(339):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""不过现在也不用在意这些事情。现在，去【编辑阵容】！"");  },delegate(){"
guidetext15,这里是选择让哪一位【主神】来带领队伍的地方。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(386):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""这里是选择让哪一位【主神】来带领队伍的地方。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext16,师出无名的话是不会有神灵愿意跟随的，让其他神界见识到大神的威光也是很重要的。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(387):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""师出无名的话是不会有神灵愿意跟随的，让其他神界见识到大神的威光也是很重要的。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext17,虽然听起来很恼人，但你还是必须选择其中一个主神，以她的名义来战斗。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(388):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""虽然听起来很恼人，但你还是必须选择其中一个主神，以她的名义来战斗。"");  },delegate(){"
guidetext18,和之前的战斗一样，作为大将的主神被打败就等于输掉了这场信仰之争。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(406):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""和之前的战斗一样，作为大将的主神被打败就等于输掉了这场信仰之争。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext19,如果你想以另一个主神的名义战斗，只要到这里来更换就可以了。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(407):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""如果你想以另一个主神的名义战斗，只要到这里来更换就可以了。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext20,毕竟，胜利就是一切，那些大神们应该非常清楚这点，也不会有什么怨言吧…大概…,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(408):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""毕竟，胜利就是一切，那些大神们应该非常清楚这点，也不会有什么怨言吧…大概…"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext21,诶？你说我不在里面？虽然很感谢你支持我啦，不过我只是个【普通人】而已，并不是能承担如此重任的【主神】。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(409):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""诶？你说我不在里面？虽然很感谢你支持我啦，不过我只是个【普通人】而已，并不是能承担如此重任的【主神】。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext22,选择好了主神的话就可以进行接下来的步骤了！请点击【下一步】吧！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(410):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""选择好了主神的话就可以进行接下来的步骤了！请点击【下一步】吧！"");  },delegate(){"
guidetext23,选完阵营后，就要选择组成队伍的成员了。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(432):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""选完阵营后，就要选择组成队伍的成员了。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext24,谁都不在。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(433):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""…谁都不在。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext25,没、没关系！我、我可以继续用分身支持你一段时间…,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(434):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[4],""没、没关系！我、我可以继续用分身支持你一段时间…"");  },delegate(){"
guidetext26,我的分身跟神灵的分灵<color=#ff0000ff>【附属神】</color>之间还是有战力差距的，推荐你尽快将她们换掉…,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(469):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[5],""我的分身跟神灵的分灵<color=#ff0000ff>【附属神】</color>之间还是有战力差距的，推荐你尽快将她们换掉…"");  },delegate(){"
guidetext27,当然你也可以试着指挥她们把那群神灵打得找不着北啦，你会这么干的吧？呐？会的吧？,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(489):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""当然你也可以试着指挥她们把那群神灵打得找不着北啦，你会这么干的吧？呐？会的吧？"");  },delegate(){"
guidetext28,咳咳，失态了。既然这里已经没有什么事了，那就继续【下一步】吧！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(510):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""咳咳，失态了。既然这里已经没有什么事了，那就继续【下一步】吧！"");  },delegate(){"
guidetext29,这里是选择<color=#ff0000ff>【弹幕】</color>和<color=#ff0000ff>【神迹】</color>的地方,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(538):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""这里是选择<color=#ff0000ff>【弹幕】</color>和<color=#ff0000ff>【神迹】</color>的地方"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext30,具体生产原理解释起来好麻烦，你就继续当做是<color=#ff0000ff>【炮弹】和【道具】</color>之类的东西好了,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(539):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""……具体生产原理解释起来好麻烦，你就继续当做是<color=#ff0000ff>【炮弹】和【道具】</color>之类的东西好了"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext31,选中一张卡后，具体的效果将会显示在这里。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(540):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""选中一张卡后,具体的效果将会显示在这里。"");  },delegate(){"
